"brand","categoryLabel","series","name","sourceUrl","puissanceNominaleKw","rendementPourcent","poidsKg","volumeChauffageM3","sortieFumees","dimensions","imageUrl","availabilityForBce"
"Kunst","Inserts bois","Ebano","INSERT EBANO","https://kunststoves.com/fr/producto/insert-ebano/","8.0","80.7","207","240","Ø 150-153 mm Vertical","585x1083x525 mm","https://kunststoves.com/wp-content/uploads/2025/05/HOGAR-EBANO-AMBIENTE-WEB.jpg","propose"
"Kunst","Inserts bois","Ficus","INSERT FICUS","https://kunststoves.com/fr/producto/insert-ficus/","7.5","80.7","147","230","Ø 150-153 mm Vertical","750x567x480 mm","https://kunststoves.com/wp-content/uploads/2025/05/HOGAR-FICUS-AMBIENTE-WEB.jpg","propose"
"Kunst","Inserts bois","Quercus","INSERT QUERCUS","https://kunststoves.com/fr/producto/insert-quercus/","7.0","80.7","187","210","Ø 150-153 mm Vertical","636x921x552 mm","https://kunststoves.com/wp-content/uploads/2025/05/HOGAR-QUERCUS-AMBIENTE-WEB-1.jpg","propose"
"Kunst","Inserts bois","Sequoia","INSERT SEQUOIA","https://kunststoves.com/fr/producto/insert-sequoia/","7.9","80.7","210","240","Ø 150-153 mm Vertical","956x725x508 mm","https://kunststoves.com/wp-content/uploads/2025/05/HOGAR-SEQUOIA-AMBIENTE-WEB.jpg","propose"
"Kunst","Inserts bois","Vista","INSERT VISTA","https://kunststoves.com/fr/producto/insert-vista/","9.3","75.0","182","280","Ø 200 mm Vertical","594x1000x477 mm","https://kunststoves.com/wp-content/uploads/2025/05/HOGAR-VISTA-AMBIENTE-WEB.jpg","propose"
"Kunst","Inserts bois","Wengue","INSERT WENGUE","https://kunststoves.com/fr/producto/insert-wengue/","5.8","80.7","125","175","Ø 150-153 mm Vertical","594x732x476 mm","https://kunststoves.com/wp-content/uploads/2025/05/HOGAR-WENGUE-AMBIENTE-WEB.jpg","propose"
"Kunst","Inserts bois","Willow","INSERT WILLOW","https://kunststoves.com/fr/producto/insert-willow/","8.0","80.7","165","240","Ø 150-153 mm Vertical","878x559x501 mm","https://kunststoves.com/wp-content/uploads/2025/05/HOGAR-WILLOW-AMBIENTE-WEB-1.jpg","propose"
