id,marque,categorie,serie,nom,puissancekW,cadresDisponibles,cadreParDefaut,couleur,ventilationType,canalisable,etanche,wifiSerie,wifiOption,dimensionsCm,poidsKg,reservoirKg,autonomieH,rendementPct,classeEnergetique,ecodesign,availabilityForBce,urlFicheProduitExemple,ficheTechnique
cmg-inside-m9,CMG,inserts-granules,INSIDE M,INSIDE M9,8.5,"kpv70p|kpv80c|kpv80p",kpv70p,NOIR,forcee,non,non,non,oui,"70 × 57 × 60",102,15,"7,5 – 16","90,9 – 92,3",A+,oui,propose,https://www.cmg-fire.fr/produit/inside-m9-kpv70p/,https://www.cmg-fire.fr/wp-content/uploads/sites/4/2025/07/INSIDE-M9-M11CFRv02_01-25p.pdf
cmg-inside-m11-c,CMG,inserts-granules,INSIDE M,INSIDE M11 C,10.2,"kpv70p|kpv80c|kpv80p",kpv70p,NOIR,canalisable,oui,non,non,oui,"70 × 57 × 60",117,15,"6 – 14","90,3 – 93,2",A+,oui,propose,https://www.cmg-fire.fr/produit/inside-m11-c-kpv70p/,https://www.cmg-fire.fr/wp-content/uploads/sites/4/2025/07/INSIDE-M9-M11CFRv02_01-25p.pdf
